Administrative Counties,Single Year of Age,Female,Male,Difference (Female - Male)
Galway City Council,11,480,491,-11
Galway City Council,12,438,443,-5
Galway City Council,13,468,511,-43
Galway City Council,14,425,456,-31
Galway City Council,15,433,444,-11
Galway City Council,16,443,419,24
Galway City Council,17,416,438,-22
Galway City Council,18,521,512,9
Galway City Council,19,1006,758,248
Galway City Council,20,1142,882,260
Galway City Council,21,1161,923,238
Galway City Council,22,1069,895,174
Galway City Council,23,927,795,132
Galway City Council,24,872,855,17
Galway City Council,25,863,788,75
Galway City Council,26,751,771,-20
Galway City Council,27,705,730,-25
Galway City Council,28,754,704,50
Galway City Council,29,731,737,-6
Galway City Council,30,725,677,48
Galway City Council,31,705,759,-54
Galway City Council,32,699,655,44
Galway City Council,33,628,594,34
Galway City Council,34,721,611,110
Galway City Council,35,667,610,57
Galway City Council,36,707,625,82
Galway City Council,37,657,650,7
Galway City Council,38,707,624,83
Galway City Council,39,747,644,103
Galway City Council,40,687,707,-20
Galway City Council,41,680,699,-19
Galway City Council,42,723,692,31
Galway City Council,43,621,645,-24
Galway City Council,44,600,613,-13
Galway City Council,45,631,584,47
Galway City Council,46,633,577,56
Galway City Council,47,572,569,3
Galway City Council,48,555,483,72
Galway City Council,49,529,489,40
Galway City Council,50,506,469,37
Galway City Council,51,499,498,1
Galway City Council,52,452,466,-14
Galway City Council,53,479,424,55
Galway City Council,54,453,418,35
Galway City Council,55,471,408,63
Galway City Council,56,445,438,7
Galway City Council,57,444,419,25
Galway City Council,58,411,356,55
Galway City Council,59,424,351,73
Galway City Council,60,384,376,8
Galway City Council,61,420,360,60
Galway City Council,62,406,333,73
Galway City Council,63,380,328,52
Galway City Council,64,373,321,52
Galway City Council,65,383,303,80
Galway City Council,66,341,288,53
Galway City Council,67,329,313,16
Galway City Council,68,366,287,79
Galway City Council,69,354,324,30
Galway City Council,70,291,262,29
Galway City Council,71,302,248,54
Galway City Council,72,297,224,73
Galway City Council,73,285,262,23
Galway City Council,74,279,223,56
Galway City Council,75,255,224,31
Galway City Council,76,276,228,48
Galway City Council,77,246,179,67
Galway City Council,78,222,165,57
Galway City Council,79,208,155,53
Galway City Council,80,226,150,76
Galway City Council,81,145,105,40
Galway City Council,82,179,100,79
Galway City Council,83,160,117,43
Galway City Council,84,148,88,60
Galway City Council,85,130,81,49
Galway City Council,86,110,71,39
Galway City Council,87,91,52,39
Galway City Council,88,75,66,9
Galway City Council,89,54,42,12
Galway City Council,90,54,34,20
Galway City Council,91,68,34,34
Galway City Council,92,45,19,26
Galway City Council,93,43,10,33
Galway City Council,94,17,9,8
Galway City Council,95,20,4,16
Galway City Council,96,16,3,13
Galway City Council,97,10,2,8
Galway City Council,98,14,1,13
Galway City Council,99,1,3,-2
Galway City Council,100,5,3,2
Galway County Council,0,1073,1176,-103
Galway County Council,1,1082,1135,-53
Galway County Council,2,1161,1188,-27
Galway County Council,3,1191,1247,-56
Galway County Council,4,1189,1354,-165
Galway County Council,5,1286,1326,-40
Galway County Council,6,1361,1359,2
Galway County Council,7,1291,1368,-77
Galway County Council,8,1408,1507,-99
Galway County Council,9,1345,1545,-200
Galway County Council,10,1418,1556,-138
Galway County Council,11,1487,1491,-4
Galway County Council,12,1413,1530,-117
Galway County Council,13,1471,1568,-97
Galway County Council,14,1506,1538,-32
Galway County Council,15,1394,1381,13
Galway County Council,16,1444,1519,-75
Galway County Council,17,1329,1457,-128
Galway County Council,18,1214,1332,-118
Galway County Council,19,1039,1212,-173
Galway County Council,20,974,1078,-104
Galway County Council,21,840,1010,-170
Galway County Council,22,848,928,-80
Galway County Council,23,819,907,-88
Galway County Council,24,752,899,-147
Galway County Council,25,818,802,16
Galway County Council,26,707,842,-135
Galway County Council,27,733,672,61
Galway County Council,28,770,784,-14
Galway County Council,29,865,847,18
Galway County Council,30,990,813,177
Galway County Council,31,972,958,14
Galway County Council,32,1047,907,140
Galway County Council,33,1100,996,104
Galway County Council,34,1177,1056,121
Galway County Council,35,1292,1139,153
Galway County Council,36,1301,1193,108
Galway County Council,37,1354,1243,111
Galway County Council,38,1485,1266,219
Galway County Council,39,1534,1407,127
Galway County Council,40,1652,1443,209
Galway County Council,41,1596,1587,9
Galway County Council,42,1597,1558,39
Galway County Council,43,1559,1469,90
Galway County Council,44,1578,1449,129
Galway County Council,45,1576,1462,114
Galway County Council,46,1494,1464,30
Galway County Council,47,1484,1412,72
Galway County Council,48,1484,1464,20
Galway County Council,49,1504,1463,41
Galway County Council,50,1434,1392,42
Galway County Council,51,1439,1406,33
Galway County Council,52,1369,1360,9
Galway County Council,53,1284,1308,-24
Galway County Council,54,1286,1321,-35
Galway County Council,55,1234,1306,-72
Galway County Council,56,1210,1238,-28
Galway County Council,57,1244,1262,-18
Galway County Council,58,1193,1201,-8
Galway County Council,59,1175,1133,42
Galway County Council,60,1111,1161,-50
Galway County Council,61,1175,1142,33
Galway County Council,62,1086,1122,-36
Galway County Council,63,1056,1031,25
Galway County Council,64,1075,1096,-21
Galway County Council,65,1039,1055,-16
Galway County Council,66,1025,1034,-9
Galway County Council,67,999,1019,-20
Galway County Council,68,925,926,-1
Galway County Council,69,941,990,-49
Galway County Council,70,900,863,37
Galway County Council,71,907,855,52
Galway County Council,72,821,852,-31
Galway County Council,73,787,852,-65
Galway County Council,74,751,819,-68
Galway County Council,75,712,731,-19
Galway County Council,76,664,677,-13
Galway County Council,77,601,597,4
Galway County Council,78,558,567,-9
Galway County Council,79,527,499,28
Galway County Council,80,499,499,0
Galway County Council,81,424,441,-17
Galway County Council,82,409,395,14
Galway County Council,83,405,365,40
Galway County Council,84,306,297,9
Galway County Council,85,303,266,37
Galway County Council,86,317,235,82
Galway County Council,87,244,195,49
Galway County Council,88,257,176,81
Galway County Council,89,223,137,86
Galway County Council,90,178,111,67
Galway County Council,91,180,74,106
Galway County Council,92,131,59,72
Galway County Council,93,91,38,53
Galway County Council,94,81,39,42
Galway County Council,95,69,29,40
Galway County Council,96,47,7,40
Galway County Council,97,36,8,28
Galway County Council,98,29,5,24
Galway County Council,99,16,6,10
Galway County Council,100,26,16,10
Kerry County Council,0,843,822,21
Kerry County Council,1,739,811,-72
Kerry County Council,2,803,848,-45
Kerry County Council,3,847,867,-20
Kerry County Council,4,844,876,-32
Kerry County Council,5,935,938,-3
Kerry County Council,6,903,945,-42
Kerry County Council,7,946,1011,-65
Kerry County Council,8,919,957,-38
Kerry County Council,9,1000,1071,-71
Kerry County Council,10,1023,1043,-20
Kerry County Council,11,1074,1042,32
Kerry County Council,12,1090,1165,-75
Kerry County Council,13,1087,1107,-20
Kerry County Council,14,1098,1102,-4
Kerry County Council,15,1036,1092,-56
Kerry County Council,16,1019,988,31
Kerry County Council,17,1046,1057,-11
Kerry County Council,18,943,985,-42
Kerry County Council,19,798,880,-82
Kerry County Council,20,823,807,16
Kerry County Council,21,762,756,6
Kerry County Council,22,766,790,-24
Kerry County Council,23,763,834,-71
Kerry County Council,24,732,750,-18
Kerry County Council,25,725,755,-30
Kerry County Council,26,657,711,-54
Kerry County Council,27,698,713,-15
Kerry County Council,28,679,666,13
Kerry County Council,29,737,706,31
Kerry County Council,30,799,792,7
Kerry County Council,31,813,772,41
Kerry County Council,32,843,854,-11
Kerry County Council,33,919,755,164
Kerry County Council,34,907,817,90
Kerry County Council,35,1002,860,142
Kerry County Council,36,1032,992,40
Kerry County Council,37,1122,948,174
Kerry County Council,38,1220,1033,187
Kerry County Council,39,1229,1022,207
Kerry County Council,40,1239,1112,127
Kerry County Council,41,1252,1141,111
Kerry County Council,42,1259,1248,11
Kerry County Council,43,1242,1145,97
Kerry County Council,44,1170,1179,-9
Kerry County Council,45,1117,1147,-30
Kerry County Council,46,1184,1089,95
Kerry County Council,47,1145,1151,-6
Kerry County Council,48,1090,1138,-48
Kerry County Council,49,1184,1100,84
Kerry County Council,50,1097,1164,-67
Kerry County Council,51,1075,1120,-45
Kerry County Council,52,1158,1148,10
Kerry County Council,53,1068,1099,-31
Kerry County Council,54,1053,1052,1
Kerry County Council,55,1045,1007,38
Kerry County Council,56,1096,1042,54
Kerry County Council,57,1085,1027,58
Kerry County Council,58,1013,1040,-27
Kerry County Council,59,1023,1031,-8
Kerry County Council,60,1055,1001,54
Kerry County Council,61,990,973,17
Kerry County Council,62,974,1036,-62
Kerry County Council,63,989,983,6
Kerry County Council,64,1011,943,68
Kerry County Council,65,926,975,-49
Kerry County Council,66,890,936,-46
Kerry County Council,67,944,945,-1
Kerry County Council,68,864,857,7
Kerry County Council,69,928,834,94
Kerry County Council,70,811,881,-70
Kerry County Council,71,814,838,-24
Kerry County Council,72,787,782,5
Kerry County Council,73,769,760,9
Kerry County Council,74,723,758,-35
Kerry County Council,75,713,705,8
Kerry County Council,76,665,686,-21
Kerry County Council,77,596,593,3
Kerry County Council,78,557,520,37
Kerry County Council,79,517,500,17
Kerry County Council,80,446,372,74
Kerry County Council,81,388,395,-7
Kerry County Council,82,418,340,78
Kerry County Council,83,345,270,75
Kerry County Council,84,331,276,55
Kerry County Council,85,255,244,11
Kerry County Council,86,260,179,81
Kerry County Council,87,260,164,96
Kerry County Council,88,183,139,44
Kerry County Council,89,182,87,95
Kerry County Council,90,147,81,66
Kerry County Council,91,133,76,57
Kerry County Council,92,88,40,48
Kerry County Council,93,92,35,57
Kerry County Council,94,56,22,34
Kerry County Council,95,56,10,46
Kerry County Council,96,24,9,15
Kerry County Council,97,32,13,19
Kerry County Council,98,15,4,11
Kerry County Council,99,9,3,6
Kerry County Council,100,12,2,10
Kildare County Council,0,1455,1550,-95
Kildare County Council,1,1452,1535,-83
Kildare County Council,2,1559,1543,16
Kildare County Council,3,1509,1611,-102
Kildare County Council,4,1563,1704,-141
Kildare County Council,5,1604,1692,-88
Kildare County Council,6,1722,1784,-62
Kildare County Council,7,1776,1879,-103
Kildare County Council,8,1773,1926,-153
Kildare County Council,9,1893,1939,-46
Kildare County Council,10,1890,1985,-95
Kildare County Council,11,1954,2127,-173
Kildare County Council,12,1984,2057,-73
Kildare County Council,13,1909,2058,-149
Kildare County Council,14,1907,2037,-130
Kildare County Council,15,1817,1933,-116
Kildare County Council,16,1713,1803,-90
Kildare County Council,17,1734,1884,-150
Kildare County Council,18,1708,1888,-180
Kildare County Council,19,1746,1744,2
Kildare County Council,20,1589,1744,-155
Kildare County Council,21,1463,1587,-124
Kildare County Council,22,1380,1510,-130
Kildare County Council,23,1391,1469,-78
Kildare County Council,24,1335,1340,-5
Kildare County Council,25,1307,1344,-37
Kildare County Council,26,1208,1235,-27
Kildare County Council,27,1291,1294,-3
Kildare County Council,28,1332,1226,106
Kildare County Council,29,1386,1329,57
Kildare County Council,30,1488,1372,116
Kildare County Council,31,1594,1396,198
Kildare County Council,32,1551,1462,89
Kildare County Council,33,1665,1522,143
Kildare County Council,34,1780,1563,217
Kildare County Council,35,1864,1722,142
Kildare County Council,36,2015,1733,282
Kildare County Council,37,2009,1837,172
Kildare County Council,38,2114,1889,225
Kildare County Council,39,2246,2085,161
Kildare County Council,40,2276,2090,186
Kildare County Council,41,2267,2183,84
Kildare County Council,42,2218,2192,26
Kildare County Council,43,2155,2080,75
Kildare County Council,44,2017,1971,46
Kildare County Council,45,2007,1959,48
Kildare County Council,46,1989,1957,32
Kildare County Council,47,1924,1933,-9
Kildare County Council,48,1949,1930,19
Kildare County Council,49,1993,1921,72
Kildare County Council,50,1867,1911,-44
Kildare County Council,51,1718,1821,-103
Kildare County Council,52,1676,1749,-73
Kildare County Council,53,1606,1611,-5
Kildare County Council,54,1552,1580,-28
Kildare County Council,55,1529,1513,16
Kildare County Council,56,1483,1504,-21
Kildare County Council,57,1470,1464,6
Kildare County Council,58,1407,1349,58
Kildare County Council,59,1320,1261,59
Kildare County Council,60,1235,1276,-41
Kildare County Council,61,1257,1237,20
Kildare County Council,62,1156,1126,30
Kildare County Council,63,1121,1115,6
Kildare County Council,64,1084,1031,53
Kildare County Council,65,1040,1073,-33
Kildare County Council,66,1065,968,97
Kildare County Council,67,1098,1028,70
Kildare County Council,68,952,909,43
Kildare County Council,69,983,947,36
Kildare County Council,70,866,845,21
Kildare County Council,71,858,824,34
Kildare County Council,72,881,785,96
Kildare County Council,73,811,773,38
Kildare County Council,74,766,728,38
Kildare County Council,75,721,735,-14
Kildare County Council,76,592,653,-61
Kildare County Council,77,601,580,21
Kildare County Council,78,534,506,28
Kildare County Council,79,512,469,43
Kildare County Council,80,405,373,32
Kildare County Council,81,372,301,71
Kildare County Council,82,362,274,88
Kildare County Council,83,332,230,102
Kildare County Council,84,246,218,28
Kildare County Council,85,269,206,63
Kildare County Council,86,218,153,65
Kildare County Council,87,201,140,61
Kildare County Council,88,164,101,63
Kildare County Council,89,160,82,78
Kildare County Council,90,124,72,52
Kildare County Council,91,102,51,51
Kildare County Council,92,70,41,29
Kildare County Council,93,81,33,48
Kildare County Council,94,39,25,14
Kildare County Council,95,40,14,26
Kildare County Council,96,29,8,21
Kildare County Council,97,21,7,14
Kildare County Council,98,12,3,9
Kildare County Council,99,12,1,11
Kildare County Council,100,19,6,13
Kilkenny County Council,0,553,570,-17
Kilkenny County Council,1,545,576,-31
Kilkenny County Council,2,559,620,-61
Kilkenny County Council,3,597,606,-9
Kilkenny County Council,4,618,616,2
Kilkenny County Council,5,644,693,-49
Kilkenny County Council,6,669,763,-94
Kilkenny County Council,7,756,711,45
Kilkenny County Council,8,702,781,-79
Kilkenny County Council,9,773,756,17
Kilkenny County Council,10,771,847,-76
Kilkenny County Council,11,809,800,9
Kilkenny County Council,12,775,825,-50
Kilkenny County Council,13,769,843,-74
Kilkenny County Council,14,692,855,-163
Kilkenny County Council,15,760,828,-68
Kilkenny County Council,16,673,783,-110
Kilkenny County Council,17,739,726,13
Kilkenny County Council,18,699,715,-16
Kilkenny County Council,19,563,562,1
Kilkenny County Council,20,529,560,-31
Kilkenny County Council,21,471,574,-103
Kilkenny County Council,22,438,555,-117
Kilkenny County Council,23,471,523,-52
Kilkenny County Council,24,510,526,-16
Kilkenny County Council,25,463,539,-76
Kilkenny County Council,26,494,472,22
Kilkenny County Council,27,502,470,32
Kilkenny County Council,28,536,480,56
Kilkenny County Council,29,559,530,29
Kilkenny County Council,30,552,513,39
Kilkenny County Council,31,614,599,15
Kilkenny County Council,32,572,578,-6
Kilkenny County Council,33,568,563,5
Kilkenny County Council,34,636,594,42
Kilkenny County Council,35,741,634,107
Kilkenny County Council,36,717,625,92
Kilkenny County Council,37,708,657,51
Kilkenny County Council,38,803,683,120
Kilkenny County Council,39,832,756,76
Kilkenny County Council,40,776,810,-34
Kilkenny County Council,41,883,787,96
Kilkenny County Council,42,824,791,33
Kilkenny County Council,43,813,799,14
Kilkenny County Council,44,797,800,-3
Kilkenny County Council,45,781,770,11
Kilkenny County Council,46,813,807,6
Kilkenny County Council,47,802,738,64
Kilkenny County Council,48,765,796,-31
Kilkenny County Council,49,798,816,-18
Kilkenny County Council,50,777,726,51
Kilkenny County Council,51,738,694,44
Kilkenny County Council,52,667,742,-75
Kilkenny County Council,53,719,700,19
Kilkenny County Council,54,671,659,12
Kilkenny County Council,55,679,698,-19
Kilkenny County Council,56,674,679,-5
Kilkenny County Council,57,709,666,43
Kilkenny County Council,58,642,626,16
Kilkenny County Council,59,672,638,34
Kilkenny County Council,60,643,594,49
Kilkenny County Council,61,661,599,62
Kilkenny County Council,62,638,645,-7
Kilkenny County Council,63,568,574,-6
Kilkenny County Council,64,558,593,-35
Kilkenny County Council,65,543,511,32
Kilkenny County Council,66,492,564,-72
Kilkenny County Council,67,524,546,-22
Kilkenny County Council,68,495,550,-55
Kilkenny County Council,69,523,490,33
Kilkenny County Council,70,491,471,20
Kilkenny County Council,71,426,410,16
Kilkenny County Council,72,449,471,-22
Kilkenny County Council,73,410,421,-11
Kilkenny County Council,74,383,477,-94
Kilkenny County Council,75,377,392,-15
Kilkenny County Council,76,410,315,95
Kilkenny County Council,77,337,360,-23
Kilkenny County Council,78,307,303,4
Kilkenny County Council,79,327,270,57
Kilkenny County Council,80,265,249,16
Kilkenny County Council,81,234,229,5
Kilkenny County Council,82,225,174,51
Kilkenny County Council,83,214,173,41
Kilkenny County Council,84,188,159,29
Kilkenny County Council,85,183,126,57
Kilkenny County Council,86,189,118,71
Kilkenny County Council,87,171,107,64
Kilkenny County Council,88,126,77,49
Kilkenny County Council,89,115,73,42
Kilkenny County Council,90,82,49,33
Kilkenny County Council,91,93,45,48
Kilkenny County Council,92,58,25,33
Kilkenny County Council,93,45,21,24
Kilkenny County Council,94,44,19,25
Kilkenny County Council,95,28,8,20
Kilkenny County Council,96,23,9,14
Kilkenny County Council,97,19,5,14
Kilkenny County Council,98,14,2,12
Kilkenny County Council,99,5,4,1
Kilkenny County Council,100,12,6,6
Laois County Council,0,545,555,-10
Laois County Council,1,491,517,-26
Laois County Council,2,564,605,-41
Laois County Council,3,571,648,-77
Laois County Council,4,577,643,-66
Laois County Council,5,607,641,-34
Laois County Council,6,630,698,-68
Laois County Council,7,696,713,-17
Laois County Council,8,723,723,0
Laois County Council,9,655,780,-125
Laois County Council,10,769,793,-24
Laois County Council,11,729,824,-95
Laois County Council,12,807,818,-11
Laois County Council,13,745,788,-43
Laois County Council,14,763,790,-27
Laois County Council,15,727,747,-20
Laois County Council,16,633,680,-47
Laois County Council,17,718,703,15
Laois County Council,18,634,665,-31
Laois County Council,19,537,593,-56
Laois County Council,20,510,537,-27
Laois County Council,21,491,534,-43
Laois County Council,22,477,517,-40
Laois County Council,23,458,503,-45
Laois County Council,24,434,471,-37
Laois County Council,25,414,437,-23
Laois County Council,26,433,459,-26
Laois County Council,27,415,482,-67
Laois County Council,28,430,441,-11
Laois County Council,29,453,448,5
Laois County Council,30,517,470,47
Laois County Council,31,512,509,3
Laois County Council,32,530,559,-29
Laois County Council,33,583,538,45
Laois County Council,34,631,548,83
Laois County Council,35,698,655,43
Laois County Council,36,717,667,50
Laois County Council,37,737,704,33
Laois County Council,38,820,718,102
Laois County Council,39,839,762,77
Laois County Council,40,814,747,67
Laois County Council,41,830,799,31
Laois County Council,42,822,813,9
Laois County Council,43,733,727,6
Laois County Council,44,755,712,43
Laois County Council,45,701,721,-20
Laois County Council,46,711,665,46
Laois County Council,47,655,684,-29
Laois County Council,48,703,665,38
Laois County Council,49,658,661,-3
Laois County Council,50,647,692,-45
Laois County Council,51,634,660,-26
Laois County Council,52,612,656,-44
Laois County Council,53,544,618,-74
Laois County Council,54,545,600,-55
Laois County Council,55,548,605,-57
Laois County Council,56,539,554,-15
Laois County Council,57,532,522,10
Laois County Council,58,541,529,12
Laois County Council,59,466,501,-35
Laois County Council,60,459,506,-47
Laois County Council,61,509,496,13
Laois County Council,62,444,478,-34
Laois County Council,63,432,482,-50
Laois County Council,64,419,450,-31
Laois County Council,65,419,458,-39
Laois County Council,66,389,404,-15
Laois County Council,67,380,401,-21
Laois County Council,68,381,368,13
Laois County Council,69,377,382,-5
Laois County Council,70,369,371,-2
Laois County Council,71,305,353,-48
Laois County Council,72,296,315,-19
Laois County Council,73,281,277,4
Laois County Council,74,278,289,-11
Laois County Council,75,304,275,29
Laois County Council,76,288,251,37
Laois County Council,77,217,235,-18
Laois County Council,78,225,218,7
Laois County Council,79,212,178,34
Laois County Council,80,186,155,31
Laois County Council,81,158,146,12
Laois County Council,82,148,121,27
Laois County Council,83,136,115,21
Laois County Council,84,99,106,-7
Laois County Council,85,114,84,30
Laois County Council,86,95,81,14
Laois County Council,87,93,65,28
Laois County Council,88,85,52,33
Laois County Council,89,64,32,32
Laois County Council,90,44,26,18
Laois County Council,91,49,40,9
Laois County Council,92,48,17,31
Laois County Council,93,21,17,4
Laois County Council,94,21,8,13
Laois County Council,95,8,5,3
Laois County Council,96,14,1,13
Laois County Council,97,8,2,6
Laois County Council,98,1,4,-3
Laois County Council,99,3,0,3
Laois County Council,100,10,0,10
Leitrim County Council,0,204,200,4
Leitrim County Council,1,202,204,-2
Leitrim County Council,2,229,224,5
Leitrim County Council,3,192,240,-48
Leitrim County Council,4,227,223,4
Leitrim County Council,5,218,229,-11
Leitrim County Council,6,236,232,4
Leitrim County Council,7,239,254,-15
Leitrim County Council,8,255,254,1
Leitrim County Council,9,258,284,-26
Leitrim County Council,10,257,245,12
Leitrim County Council,11,265,266,-1
Leitrim County Council,12,276,256,20
Leitrim County Council,13,238,259,-21
Leitrim County Council,14,230,265,-35
Leitrim County Council,15,263,265,-2
Leitrim County Council,16,229,265,-36
Leitrim County Council,17,226,270,-44
Leitrim County Council,18,220,229,-9
Leitrim County Council,19,167,162,5
Leitrim County Council,20,159,185,-26
Leitrim County Council,21,131,146,-15
Leitrim County Council,22,152,170,-18
Leitrim County Council,23,152,177,-25
Leitrim County Council,24,125,147,-22
Leitrim County Council,25,144,142,2
Leitrim County Council,26,126,156,-30
Leitrim County Council,27,138,137,1
Leitrim County Council,28,148,143,5
Leitrim County Council,29,145,156,-11
Leitrim County Council,30,172,164,8
Leitrim County Council,31,211,155,56
Leitrim County Council,32,217,163,54
Leitrim County Council,33,206,173,33
Leitrim County Council,34,217,192,25
Leitrim County Council,35,227,216,11
Leitrim County Council,36,240,211,29
Leitrim County Council,37,234,211,23
Leitrim County Council,38,252,231,21
Leitrim County Council,39,253,242,11
Leitrim County Council,40,271,245,26
Leitrim County Council,41,264,276,-12
Leitrim County Council,42,289,249,40
Leitrim County Council,43,280,246,34
Leitrim County Council,44,254,264,-10
Leitrim County Council,45,239,267,-28
Leitrim County Council,46,246,244,2
Leitrim County Council,47,249,244,5
Leitrim County Council,48,256,243,13
Leitrim County Council,49,254,238,16
Leitrim County Council,50,240,264,-24
Leitrim County Council,51,260,225,35
Leitrim County Council,52,259,247,12
Leitrim County Council,53,234,243,-9
Leitrim County Council,54,246,244,2
Leitrim County Council,55,233,242,-9
Leitrim County Council,56,233,224,9
Leitrim County Council,57,231,245,-14
Leitrim County Council,58,241,230,11
Leitrim County Council,59,214,212,2
Leitrim County Council,60,188,213,-25
Leitrim County Council,61,214,222,-8
Leitrim County Council,62,200,225,-25
Leitrim County Council,63,211,228,-17
Leitrim County Council,64,211,206,5
Leitrim County Council,65,222,216,6
Leitrim County Council,66,182,229,-47
Leitrim County Council,67,228,194,34
Leitrim County Council,68,202,213,-11
Leitrim County Council,69,202,201,1
Leitrim County Council,70,179,191,-12
Leitrim County Council,71,173,200,-27
Leitrim County Council,72,175,191,-16
Leitrim County Council,73,140,155,-15
Leitrim County Council,74,172,141,31
Leitrim County Council,75,133,154,-21
Leitrim County Council,76,139,140,-1
Leitrim County Council,77,123,137,-14
Leitrim County Council,78,122,110,12
Leitrim County Council,79,112,100,12
Leitrim County Council,80,77,82,-5
Leitrim County Council,81,80,70,10
Leitrim County Council,82,81,88,-7
Leitrim County Council,83,90,73,17
Leitrim County Council,84,87,57,30
Leitrim County Council,85,55,53,2
Leitrim County Council,86,54,38,16
Leitrim County Council,87,55,50,5
Leitrim County Council,88,46,34,12
Leitrim County Council,89,39,17,22
Leitrim County Council,90,33,28,5
Leitrim County Council,91,36,21,15
Leitrim County Council,92,30,12,18
Leitrim County Council,93,22,10,12
Leitrim County Council,94,14,8,6
Leitrim County Council,95,14,7,7
Leitrim County Council,96,6,0,6
Leitrim County Council,97,14,3,11
Leitrim County Council,98,5,1,4
Leitrim County Council,99,3,0,3
Leitrim County Council,100,4,0,4
Limerick City & County Council,0,1049,1116,-67
Limerick City & County Council,1,1087,1148,-61
Limerick City & County Council,2,1130,1243,-113
Limerick City & County Council,3,1159,1193,-34
Limerick City & County Council,4,1227,1240,-13
Limerick City & County Council,5,1190,1294,-104
Limerick City & County Council,6,1317,1304,13
Limerick City & County Council,7,1271,1332,-61
Limerick City & County Council,8,1362,1408,-46
Limerick City & County Council,9,1363,1462,-99
Limerick City & County Council,10,1392,1476,-84
Limerick City & County Council,11,1487,1492,-5
Limerick City & County Council,12,1362,1521,-159
Limerick City & County Council,13,1435,1516,-81
Limerick City & County Council,14,1445,1453,-8
Limerick City & County Council,15,1335,1409,-74
Limerick City & County Council,16,1291,1436,-145
Limerick City & County Council,17,1224,1391,-167
Limerick City & County Council,18,1305,1396,-91
Limerick City & County Council,19,1422,1467,-45
Limerick City & County Council,20,1504,1428,76
Limerick City & County Council,21,1314,1343,-29
Limerick City & County Council,22,1473,1478,-5
Limerick City & County Council,23,1246,1351,-105
Limerick City & County Council,24,1190,1355,-165
Limerick City & County Council,25,1280,1346,-66
Limerick City & County Council,26,1293,1264,29
Limerick City & County Council,27,1238,1229,9
Limerick City & County Council,28,1220,1153,67
Limerick City & County Council,29,1260,1230,30
Limerick City & County Council,30,1265,1250,15
Limerick City & County Council,31,1317,1205,112
Limerick City & County Council,32,1356,1316,40
Limerick City & County Council,33,1313,1310,3
Limerick City & County Council,34,1424,1314,110
Limerick City & County Council,35,1468,1404,64
Limerick City & County Council,36,1593,1419,174
Limerick City & County Council,37,1555,1468,87
Limerick City & County Council,38,1594,1521,73
Limerick City & County Council,39,1690,1540,150
Limerick City & County Council,40,1657,1637,20
Limerick City & County Council,41,1699,1646,53
Limerick City & County Council,42,1675,1613,62
Limerick City & County Council,43,1609,1543,66
Limerick City & County Council,44,1551,1503,48
Limerick City & County Council,45,1493,1566,-73
Limerick City & County Council,46,1482,1541,-59
Limerick City & County Council,47,1468,1505,-37
Limerick City & County Council,48,1448,1450,-2
Limerick City & County Council,49,1449,1474,-25
Limerick City & County Council,50,1371,1496,-125
Limerick City & County Council,51,1390,1413,-23
Limerick City & County Council,52,1381,1414,-33
Limerick City & County Council,53,1206,1285,-79
Limerick City & County Council,54,1253,1307,-54
Limerick City & County Council,55,1210,1298,-88
Limerick City & County Council,56,1218,1227,-9
Limerick City & County Council,57,1295,1253,42
Limerick City & County Council,58,1225,1203,22
Limerick City & County Council,59,1223,1176,47
Limerick City & County Council,60,1206,1184,22
Limerick City & County Council,61,1139,1152,-13
Limerick City & County Council,62,1196,1115,81
Limerick City & County Council,63,1046,1149,-103
Limerick City & County Council,64,1109,1132,-23
Limerick City & County Council,65,1089,1051,38
Limerick City & County Council,66,1049,1093,-44
Limerick City & County Council,67,1043,998,45
Limerick City & County Council,68,931,998,-67
Limerick City & County Council,69,1007,1043,-36
Limerick City & County Council,70,964,960,4
Limerick City & County Council,71,941,908,33
Limerick City & County Council,72,924,886,38
Limerick City & County Council,73,829,893,-64
Limerick City & County Council,74,873,785,88
Limerick City & County Council,75,810,738,72
Limerick City & County Council,76,770,692,78
Limerick City & County Council,77,715,609,106
Limerick City & County Council,78,633,584,49
Limerick City & County Council,79,650,559,91
Limerick City & County Council,80,570,431,139
Limerick City & County Council,81,467,421,46
Limerick City & County Council,82,466,380,86
Limerick City & County Council,83,407,364,43
Limerick City & County Council,84,409,278,131
Limerick City & County Council,85,338,259,79
Limerick City & County Council,86,321,235,86
Limerick City & County Council,87,260,191,69
Limerick City & County Council,88,209,148,61
Limerick City & County Council,89,202,115,87
Limerick City & County Council,90,155,93,62
Limerick City & County Council,91,152,69,83
Limerick City & County Council,92,103,47,56
Limerick City & County Council,93,96,34,62
Limerick City & County Council,94,74,24,50
Limerick City & County Council,95,50,18,32
Limerick City & County Council,96,36,14,22
Limerick City & County Council,97,24,9,15
Limerick City & County Council,98,27,9,18
Limerick City & County Council,99,11,6,5
Limerick City & County Council,100,34,7,27
Longford County Council,0,270,257,13
Longford County Council,1,238,244,-6
Longford County Council,2,243,301,-58
Longford County Council,3,300,283,17
Longford County Council,4,283,276,7
Longford County Council,5,299,347,-48
Longford County Council,6,287,337,-50
Longford County Council,7,345,331,14
Longford County Council,8,313,348,-35
Longford County Council,9,356,390,-34
Longford County Council,10,361,367,-6
Longford County Council,11,343,391,-48
Longford County Council,12,350,381,-31
Longford County Council,13,378,385,-7
